Geography,Geographic Area Name,population_25p_bachelors_or_higher
1400000US12001000201,Census Tract 2.01; Alachua County; Florida,807
1400000US12001000202,Census Tract 2.02; Alachua County; Florida,369
1400000US12001000301,Census Tract 3.01; Alachua County; Florida,963
1400000US12001000302,Census Tract 3.02; Alachua County; Florida,910
1400000US12001000400,Census Tract 4; Alachua County; Florida,1333
1400000US12001000500,Census Tract 5; Alachua County; Florida,2504
1400000US12001000600,Census Tract 6; Alachua County; Florida,425
1400000US12001000700,Census Tract 7; Alachua County; Florida,1135
1400000US12001000806,Census Tract 8.06; Alachua County; Florida,879
1400000US12001000808,Census Tract 8.08; Alachua County; Florida,1053
1400000US12001000809,Census Tract 8.09; Alachua County; Florida,612
1400000US12001000901,Census Tract 9.01; Alachua County; Florida,328
1400000US12001000902,Census Tract 9.02; Alachua County; Florida,85
1400000US12001001000,Census Tract 10; Alachua County; Florida,2585
1400000US12001001100,Census Tract 11; Alachua County; Florida,3721
1400000US12001001201,Census Tract 12.01; Alachua County; Florida,1181
1400000US12001001202,Census Tract 12.02; Alachua County; Florida,2649
1400000US12001001203,Census Tract 12.03; Alachua County; Florida,1396
1400000US12001001400,Census Tract 14; Alachua County; Florida,490
1400000US12001001514,Census Tract 15.14; Alachua County; Florida,820
1400000US12001001515,Census Tract 15.15; Alachua County; Florida,1433
1400000US12001001516,Census Tract 15.16; Alachua County; Florida,604
1400000US12001001517,Census Tract 15.17; Alachua County; Florida,1416
1400000US12001001519,Census Tract 15.19; Alachua County; Florida,369
1400000US12001001522,Census Tract 15.22; Alachua County; Florida,1699
1400000US12001001605,Census Tract 16.05; Alachua County; Florida,2358
1400000US12001001701,Census Tract 17.01; Alachua County; Florida,2647
1400000US12001001702,Census Tract 17.02; Alachua County; Florida,2585
1400000US12001001802,Census Tract 18.02; Alachua County; Florida,583
1400000US12001001803,Census Tract 18.03; Alachua County; Florida,2220
1400000US12001001811,Census Tract 18.11; Alachua County; Florida,3027
1400000US12001001813,Census Tract 18.13; Alachua County; Florida,1706
1400000US12001001815,Census Tract 18.15; Alachua County; Florida,434
1400000US12001001816,Census Tract 18.16; Alachua County; Florida,1407
1400000US12001001817,Census Tract 18.17; Alachua County; Florida,1716
1400000US12001001818,Census Tract 18.18; Alachua County; Florida,1145
1400000US12001001819,Census Tract 18.19; Alachua County; Florida,1144
1400000US12001001902,Census Tract 19.02; Alachua County; Florida,479
1400000US12001001907,Census Tract 19.07; Alachua County; Florida,611
1400000US12001001908,Census Tract 19.08; Alachua County; Florida,752
1400000US12001002001,Census Tract 20.01; Alachua County; Florida,139
1400000US12001002002,Census Tract 20.02; Alachua County; Florida,389
1400000US12001002101,Census Tract 21.01; Alachua County; Florida,697
1400000US12001002102,Census Tract 21.02; Alachua County; Florida,266
1400000US12001002201,Census Tract 22.01; Alachua County; Florida,1538
1400000US12001002202,Census Tract 22.02; Alachua County; Florida,1812
1400000US12001002204,Census Tract 22.04; Alachua County; Florida,5002
1400000US12001002207,Census Tract 22.07; Alachua County; Florida,1979
1400000US12001002208,Census Tract 22.08; Alachua County; Florida,1433
1400000US12001002209,Census Tract 22.09; Alachua County; Florida,3150
1400000US12001002210,Census Tract 22.10; Alachua County; Florida,1201
1400000US12001002217,Census Tract 22.17; Alachua County; Florida,653
1400000US12001002218,Census Tract 22.18; Alachua County; Florida,536
1400000US12001002219,Census Tract 22.19; Alachua County; Florida,2184
1400000US12001002220,Census Tract 22.20; Alachua County; Florida,1012
1400000US12001002221,Census Tract 22.21; Alachua County; Florida,2351
1400000US12001002222,Census Tract 22.22; Alachua County; Florida,3987
1400000US12001110800,Census Tract 1108; Alachua County; Florida,1038
1400000US12003040101,Census Tract 401.01; Baker County; Florida,1122
1400000US12003040102,Census Tract 401.02; Baker County; Florida,962
1400000US12003040201,Census Tract 402.01; Baker County; Florida,281
1400000US12003040202,Census Tract 402.02; Baker County; Florida,546
1400000US12005000201,Census Tract 2.01; Bay County; Florida,747
1400000US12005000203,Census Tract 2.03; Bay County; Florida,481
1400000US12005000204,Census Tract 2.04; Bay County; Florida,899
1400000US12005000301,Census Tract 3.01; Bay County; Florida,238
1400000US12005000302,Census Tract 3.02; Bay County; Florida,612
1400000US12005000401,Census Tract 4.01; Bay County; Florida,139
1400000US12005000402,Census Tract 4.02; Bay County; Florida,1255
1400000US12005000500,Census Tract 5; Bay County; Florida,1633
1400000US12005000600,Census Tract 6; Bay County; Florida,337
1400000US12005000700,Census Tract 7; Bay County; Florida,27
1400000US12005000803,Census Tract 8.03; Bay County; Florida,607
1400000US12005000804,Census Tract 8.04; Bay County; Florida,483
1400000US12005000805,Census Tract 8.05; Bay County; Florida,570
1400000US12005000806,Census Tract 8.06; Bay County; Florida,632
1400000US12005000900,Census Tract 9; Bay County; Florida,577
1400000US12005001000,Census Tract 10; Bay County; Florida,199
1400000US12005001100,Census Tract 11; Bay County; Florida,334
1400000US12005001200,Census Tract 12; Bay County; Florida,242
1400000US12005001301,Census Tract 13.01; Bay County; Florida,1098
1400000US12005001302,Census Tract 13.02; Bay County; Florida,822
