Geography,Geographic Area Name,median_household_income
1400000US12001000201,Census Tract 2.01; Alachua County; Florida,18657
1400000US12001000202,Census Tract 2.02; Alachua County; Florida,17609
1400000US12001000301,Census Tract 3.01; Alachua County; Florida,47813
1400000US12001000302,Census Tract 3.02; Alachua County; Florida,39583
1400000US12001000400,Census Tract 4; Alachua County; Florida,51266
1400000US12001000500,Census Tract 5; Alachua County; Florida,65563
1400000US12001000600,Census Tract 6; Alachua County; Florida,27971
1400000US12001000700,Census Tract 7; Alachua County; Florida,42063
1400000US12001000806,Census Tract 8.06; Alachua County; Florida,20581
1400000US12001000808,Census Tract 8.08; Alachua County; Florida,52071
1400000US12001000809,Census Tract 8.09; Alachua County; Florida,39178
1400000US12001000901,Census Tract 9.01; Alachua County; Florida,30110
1400000US12001000902,Census Tract 9.02; Alachua County; Florida,11625
1400000US12001001000,Census Tract 10; Alachua County; Florida,36080
1400000US12001001100,Census Tract 11; Alachua County; Florida,117708
1400000US12001001201,Census Tract 12.01; Alachua County; Florida,59284
1400000US12001001202,Census Tract 12.02; Alachua County; Florida,78324
1400000US12001001203,Census Tract 12.03; Alachua County; Florida,55929
1400000US12001001400,Census Tract 14; Alachua County; Florida,44107
1400000US12001001514,Census Tract 15.14; Alachua County; Florida,34018
1400000US12001001515,Census Tract 15.15; Alachua County; Florida,39077
1400000US12001001516,Census Tract 15.16; Alachua County; Florida,24382
1400000US12001001517,Census Tract 15.17; Alachua County; Florida,48160
1400000US12001001519,Census Tract 15.19; Alachua County; Florida,50088
1400000US12001001522,Census Tract 15.22; Alachua County; Florida,35246
1400000US12001001605,Census Tract 16.05; Alachua County; Florida,35680
1400000US12001001701,Census Tract 17.01; Alachua County; Florida,86962
1400000US12001001702,Census Tract 17.02; Alachua County; Florida,77283
1400000US12001001802,Census Tract 18.02; Alachua County; Florida,50428
1400000US12001001803,Census Tract 18.03; Alachua County; Florida,83378
1400000US12001001811,Census Tract 18.11; Alachua County; Florida,83219
1400000US12001001813,Census Tract 18.13; Alachua County; Florida,110150
1400000US12001001815,Census Tract 18.15; Alachua County; Florida,67969
