Geography,Geographic Area Name,total_population,population_65,population_male,population_18_29
1400000US12001000201,Census Tract 2.01; Alachua County; Florida,5187,69,2466,4114
1400000US12001000202,Census Tract 2.02; Alachua County; Florida,5897,68,2564,5248
1400000US12001000301,Census Tract 3.01; Alachua County; Florida,3703,341,2168,1425
1400000US12001000302,Census Tract 3.02; Alachua County; Florida,2500,696,861,403
1400000US12001000400,Census Tract 4; Alachua County; Florida,5736,785,2661,1224
1400000US12001000500,Census Tract 5; Alachua County; Florida,5115,780,2412,1065
1400000US12001000600,Census Tract 6; Alachua County; Florida,4896,686,1811,685
1400000US12001000700,Census Tract 7; Alachua County; Florida,6821,1408,3174,750
1400000US12001000806,Census Tract 8.06; Alachua County; Florida,3505,284,1648,2115
1400000US12001000808,Census Tract 8.08; Alachua County; Florida,4041,180,2051,1795
1400000US12001000809,Census Tract 8.09; Alachua County; Florida,1566,170,905,898
1400000US12001000901,Census Tract 9.01; Alachua County; Florida,3583,0,1796,3120
1400000US12001000902,Census Tract 9.02; Alachua County; Florida,8610,0,3485,8292
1400000US12001001000,Census Tract 10; Alachua County; Florida,6825,590,3403,4218
1400000US12001001100,Census Tract 11; Alachua County; Florida,6970,1912,3311,765
1400000US12001001201,Census Tract 12.01; Alachua County; Florida,2928,741,1523,445
1400000US12001001202,Census Tract 12.02; Alachua County; Florida,7736,1132,3629,1638
1400000US12001001203,Census Tract 12.03; Alachua County; Florida,3839,468,1901,785
1400000US12001001400,Census Tract 14; Alachua County; Florida,4050,563,2590,663
1400000US12001001514,Census Tract 15.14; Alachua County; Florida,1926,39,946,1134
1400000US12001001515,Census Tract 15.15; Alachua County; Florida,5719,143,2979,3862
1400000US12001001516,Census Tract 15.16; Alachua County; Florida,2877,112,1421,1806
1400000US12001001517,Census Tract 15.17; Alachua County; Florida,5454,239,2548,3164
1400000US12001001519,Census Tract 15.19; Alachua County; Florida,2126,46,1100,1499
1400000US12001001522,Census Tract 15.22; Alachua County; Florida,7056,371,3084,4097
1400000US12001001605,Census Tract 16.05; Alachua County; Florida,8890,724,4467,4926
1400000US12001001701,Census Tract 17.01; Alachua County; Florida,6500,1876,2814,1515
1400000US12001001702,Census Tract 17.02; Alachua County; Florida,5440,1718,2682,450
1400000US12001001802,Census Tract 18.02; Alachua County; Florida,3460,493,1552,341
