Geography,Geographic Area Name,population_black,population_american_indian,population_asian,population_hispanic
1400000US12001000201,Census Tract 2.01; Alachua County; Florida,192,6,213,932
1400000US12001000202,Census Tract 2.02; Alachua County; Florida,521,0,293,1194
1400000US12001000301,Census Tract 3.01; Alachua County; Florida,601,0,15,287
1400000US12001000302,Census Tract 3.02; Alachua County; Florida,556,0,64,329
1400000US12001000400,Census Tract 4; Alachua County; Florida,1821,0,182,564
1400000US12001000500,Census Tract 5; Alachua County; Florida,538,0,73,263
1400000US12001000600,Census Tract 6; Alachua County; Florida,4605,0,5,48
1400000US12001000700,Census Tract 7; Alachua County; Florida,4408,2,0,225
1400000US12001000806,Census Tract 8.06; Alachua County; Florida,253,0,742,519
1400000US12001000808,Census Tract 8.08; Alachua County; Florida,1316,3,310,389
1400000US12001000809,Census Tract 8.09; Alachua County; Florida,114,2,60,397
1400000US12001000901,Census Tract 9.01; Alachua County; Florida,265,0,484,600
1400000US12001000902,Census Tract 9.02; Alachua County; Florida,841,0,851,1466
1400000US12001001000,Census Tract 10; Alachua County; Florida,417,0,344,1016
1400000US12001001100,Census Tract 11; Alachua County; Florida,414,13,739,502
1400000US12001001201,Census Tract 12.01; Alachua County; Florida,413,0,118,157
1400000US12001001202,Census Tract 12.02; Alachua County; Florida,1267,0,171,916
1400000US12001001203,Census Tract 12.03; Alachua County; Florida,982,11,98,559
1400000US12001001400,Census Tract 14; Alachua County; Florida,2127,45,11,240
1400000US12001001514,Census Tract 15.14; Alachua County; Florida,391,10,243,280
1400000US12001001515,Census Tract 15.15; Alachua County; Florida,971,17,694,896
1400000US12001001516,Census Tract 15.16; Alachua County; Florida,594,2,195,570
1400000US12001001517,Census Tract 15.17; Alachua County; Florida,1001,7,815,1014
1400000US12001001519,Census Tract 15.19; Alachua County; Florida,283,10,568,547
1400000US12001001522,Census Tract 15.22; Alachua County; Florida,1295,0,276,1322
1400000US12001001605,Census Tract 16.05; Alachua County; Florida,1294,0,303,1757
1400000US12001001701,Census Tract 17.01; Alachua County; Florida,1270,0,502,517
1400000US12001001702,Census Tract 17.02; Alachua County; Florida,349,0,19,906
1400000US12001001802,Census Tract 18.02; Alachua County; Florida,1411,0,0,165
1400000US12001001803,Census Tract 18.03; Alachua County; Florida,2014,0,313,887
1400000US12001001811,Census Tract 18.11; Alachua County; Florida,990,6,326,1008
1400000US12001001813,Census Tract 18.13; Alachua County; Florida,461,0,370,338
1400000US12001001815,Census Tract 18.15; Alachua County; Florida,51,0,0,338
1400000US12001001816,Census Tract 18.16; Alachua County; Florida,923,0,122,654
1400000US12001001817,Census Tract 18.17; Alachua County; Florida,626,0,61,442
1400000US12001001818,Census Tract 18.18; Alachua County; Florida,330,5,0,700
1400000US12001001819,Census Tract 18.19; Alachua County; Florida,725,0,62,510
1400000US12001001902,Census Tract 19.02; Alachua County; Florida,2113,37,0,134
1400000US12001001907,Census Tract 19.07; Alachua County; Florida,183,0,0,150
1400000US12001001908,Census Tract 19.08; Alachua County; Florida,1250,0,50,219
1400000US12001002001,Census Tract 20.01; Alachua County; Florida,90,20,38,38
1400000US12001002002,Census Tract 20.02; Alachua County; Florida,1285,0,0,238
1400000US12001002101,Census Tract 21.01; Alachua County; Florida,258,0,9,100
1400000US12001002102,Census Tract 21.02; Alachua County; Florida,142,0,20,19
1400000US12001002201,Census Tract 22.01; Alachua County; Florida,1106,0,507,480
1400000US12001002202,Census Tract 22.02; Alachua County; Florida,1147,0,93,455
1400000US12001002204,Census Tract 22.04; Alachua County; Florida,1142,11,1526,1237
1400000US12001002207,Census Tract 22.07; Alachua County; Florida,344,4,408,187
1400000US12001002208,Census Tract 22.08; Alachua County; Florida,0,0,204,419
1400000US12001002209,Census Tract 22.09; Alachua County; Florida,618,11,687,801
1400000US12001002210,Census Tract 22.10; Alachua County; Florida,1026,7,193,1259
1400000US12001002217,Census Tract 22.17; Alachua County; Florida,2396,26,75,1148
1400000US12001002218,Census Tract 22.18; Alachua County; Florida,1016,3,241,580
1400000US12001002219,Census Tract 22.19; Alachua County; Florida,2484,0,729,928
1400000US12001002220,Census Tract 22.20; Alachua County; Florida,285,0,66,764
1400000US12001002221,Census Tract 22.21; Alachua County; Florida,4,12,922,709
1400000US12001002222,Census Tract 22.22; Alachua County; Florida,78,0,963,823
1400000US12001110800,Census Tract 1108; Alachua County; Florida,65,0,71,250
1400000US12003040101,Census Tract 401.01; Baker County; Florida,714,2,101,394
1400000US12003040102,Census Tract 401.02; Baker County; Florida,1038,0,115,272
1400000US12003040201,Census Tract 402.01; Baker County; Florida,1444,12,14,173
1400000US12003040202,Census Tract 402.02; Baker County; Florida,34,0,0,210
1400000US12005000201,Census Tract 2.01; Bay County; Florida,20,0,40,560
1400000US12005000203,Census Tract 2.03; Bay County; Florida,0,19,44,123
1400000US12005000204,Census Tract 2.04; Bay County; Florida,0,0,29,177
1400000US12005000301,Census Tract 3.01; Bay County; Florida,0,51,0,309
1400000US12005000302,Census Tract 3.02; Bay County; Florida,385,0,21,394
1400000US12005000401,Census Tract 4.01; Bay County; Florida,0,12,0,37
1400000US12005000402,Census Tract 4.02; Bay County; Florida,45,53,71,624
1400000US12005000500,Census Tract 5; Bay County; Florida,728,47,321,787
1400000US12005000600,Census Tract 6; Bay County; Florida,25,0,3,3
1400000US12005000700,Census Tract 7; Bay County; Florida,72,4,14,54
1400000US12005000803,Census Tract 8.03; Bay County; Florida,794,17,101,530
1400000US12005000804,Census Tract 8.04; Bay County; Florida,248,0,66,257
1400000US12005000805,Census Tract 8.05; Bay County; Florida,928,0,246,490
1400000US12005000806,Census Tract 8.06; Bay County; Florida,326,10,60,626
1400000US12005000900,Census Tract 9; Bay County; Florida,596,0,136,274
1400000US12005001000,Census Tract 10; Bay County; Florida,369,0,304,236
1400000US12005001100,Census Tract 11; Bay County; Florida,1161,24,62,203
1400000US12005001200,Census Tract 12; Bay County; Florida,539,10,24,194
1400000US12005001301,Census Tract 13.01; Bay County; Florida,809,12,71,311
1400000US12005001302,Census Tract 13.02; Bay County; Florida,372,0,352,1031
1400000US12005001402,Census Tract 14.02; Bay County; Florida,315,0,122,245
1400000US12005001403,Census Tract 14.03; Bay County; Florida,46,0,50,51
1400000US12005001404,Census Tract 14.04; Bay County; Florida,403,0,119,1029
1400000US12005001501,Census Tract 15.01; Bay County; Florida,644,25,45,221
1400000US12005001502,Census Tract 15.02; Bay County; Florida,438,0,9,390
1400000US12005001600,Census Tract 16; Bay County; Florida,1591,0,0,331
1400000US12005001700,Census Tract 17; Bay County; Florida,1286,0,39,178
1400000US12005001800,Census Tract 18; Bay County; Florida,372,0,19,159
1400000US12005001900,Census Tract 19; Bay County; Florida,305,0,31,216
1400000US12005002000,Census Tract 20; Bay County; Florida,333,0,70,34
1400000US12005002200,Census Tract 22; Bay County; Florida,1091,7,43,965
1400000US12005002300,Census Tract 23; Bay County; Florida,277,6,7,232
1400000US12005002400,Census Tract 24; Bay County; Florida,926,8,99,225
1400000US12005002500,Census Tract 25; Bay County; Florida,0,0,23,83
1400000US12005002604,Census Tract 26.04; Bay County; Florida,412,28,123,726
1400000US12005002605,Census Tract 26.05; Bay County; Florida,0,7,6,129
1400000US12005002606,Census Tract 26.06; Bay County; Florida,52,0,0,18
1400000US12005002607,Census Tract 26.07; Bay County; Florida,61,0,10,18
1400000US12005002608,Census Tract 26.08; Bay County; Florida,0,0,217,111
1400000US12005002609,Census Tract 26.09; Bay County; Florida,322,2,82,800
1400000US12005002703,Census Tract 27.03; Bay County; Florida,80,67,85,605
1400000US12005002706,Census Tract 27.06; Bay County; Florida,0,0,0,115
1400000US12005002707,Census Tract 27.07; Bay County; Florida,0,0,0,138
1400000US12005002708,Census Tract 27.08; Bay County; Florida,0,3,0,53
1400000US12005002709,Census Tract 27.09; Bay County; Florida,56,0,23,225
1400000US12005002710,Census Tract 27.10; Bay County; Florida,713,0,185,304
1400000US12005002711,Census Tract 27.11; Bay County; Florida,198,0,0,99
1400000US12005002712,Census Tract 27.12; Bay County; Florida,517,0,104,171
1400000US12005002713,Census Tract 27.13; Bay County; Florida,0,0,0,130
1400000US12005990000,Census Tract 9900; Bay County; Florida,0,0,0,0
1400000US12007000100,Census Tract 1; Bradford County; Florida,2013,0,88,209
1400000US12007000201,Census Tract 2.01; Bradford County; Florida,1266,11,8,350
1400000US12007000202,Census Tract 2.02; Bradford County; Florida,298,4,0,166
1400000US12007000301,Census Tract 3.01; Bradford County; Florida,87,0,0,361
1400000US12007000302,Census Tract 3.02; Bradford County; Florida,14,0,8,38
1400000US12007000400,Census Tract 4; Bradford County; Florida,1151,0,158,236
1400000US12009060103,Census Tract 601.03; Brevard County; Florida,0,0,0,109
1400000US12009060104,Census Tract 601.04; Brevard County; Florida,0,0,0,46
1400000US12009060105,Census Tract 601.05; Brevard County; Florida,365,0,0,0
1400000US12009060106,Census Tract 601.06; Brevard County; Florida,44,0,16,23
1400000US12009060201,Census Tract 602.01; Brevard County; Florida,79,11,0,459
1400000US12009060202,Census Tract 602.02; Brevard County; Florida,63,49,24,12
1400000US12009060301,Census Tract 603.01; Brevard County; Florida,397,0,20,91
1400000US12009060302,Census Tract 603.02; Brevard County; Florida,31,0,12,46
1400000US12009060400,Census Tract 604; Brevard County; Florida,617,6,7,212
1400000US12009060500,Census Tract 605; Brevard County; Florida,214,0,0,508
1400000US12009060600,Census Tract 606; Brevard County; Florida,911,0,0,205
1400000US12009060700,Census Tract 607; Brevard County; Florida,1284,0,8,235
1400000US12009061001,Census Tract 610.01; Brevard County; Florida,644,21,0,895
1400000US12009061002,Census Tract 610.02; Brevard County; Florida,276,0,18,221
1400000US12009061100,Census Tract 611; Brevard County; Florida,1066,0,177,552
1400000US12009061201,Census Tract 612.01; Brevard County; Florida,704,0,776,804
1400000US12009061202,Census Tract 612.02; Brevard County; Florida,251,76,21,135
1400000US12009062106,Census Tract 621.06; Brevard County; Florida,161,0,73,78
1400000US12009062108,Census Tract 621.08; Brevard County; Florida,781,0,0,680
1400000US12009062109,Census Tract 621.09; Brevard County; Florida,243,2,100,252
1400000US12009062110,Census Tract 621.10; Brevard County; Florida,112,0,0,162
1400000US12009062111,Census Tract 621.11; Brevard County; Florida,21,0,25,135
1400000US12009062112,Census Tract 621.12; Brevard County; Florida,18,0,5,92
1400000US12009062113,Census Tract 621.13; Brevard County; Florida,380,74,31,465
1400000US12009062114,Census Tract 621.14; Brevard County; Florida,85,18,6,52
1400000US12009062115,Census Tract 621.15; Brevard County; Florida,0,0,266,12
1400000US12009062301,Census Tract 623.01; Brevard County; Florida,1002,0,43,605
1400000US12009062302,Census Tract 623.02; Brevard County; Florida,1519,0,38,986
1400000US12009062401,Census Tract 624.01; Brevard County; Florida,134,31,0,490
1400000US12009062402,Census Tract 624.02; Brevard County; Florida,577,0,0,1389
1400000US12009062500,Census Tract 625; Brevard County; Florida,1062,17,22,277
1400000US12009062600,Census Tract 626; Brevard County; Florida,1774,0,0,579
1400000US12009062800,Census Tract 628; Brevard County; Florida,138,0,94,128
1400000US12009062900,Census Tract 629; Brevard County; Florida,2021,0,36,648
1400000US12009063000,Census Tract 630; Brevard County; Florida,756,0,116,457
1400000US12009063102,Census Tract 631.02; Brevard County; Florida,408,0,236,757
1400000US12009063104,Census Tract 631.04; Brevard County; Florida,846,0,87,461
1400000US12009063105,Census Tract 631.05; Brevard County; Florida,1283,10,127,672
1400000US12009063106,Census Tract 631.06; Brevard County; Florida,243,0,131,569
1400000US12009063108,Census Tract 631.08; Brevard County; Florida,423,0,598,209
1400000US12009063109,Census Tract 631.09; Brevard County; Florida,67,0,0,796
1400000US12009064102,Census Tract 641.02; Brevard County; Florida,64,0,115,165
1400000US12009064123,Census Tract 641.23; Brevard County; Florida,367,0,126,1440
1400000US12009064124,Census Tract 641.24; Brevard County; Florida,102,0,37,383
1400000US12009064126,Census Tract 641.26; Brevard County; Florida,165,0,77,639
1400000US12009064127,Census Tract 641.27; Brevard County; Florida,278,12,355,880
1400000US12009064128,Census Tract 641.28; Brevard County; Florida,342,18,400,934
1400000US12009064129,Census Tract 641.29; Brevard County; Florida,27,0,12,123
1400000US12009064130,Census Tract 641.30; Brevard County; Florida,129,0,100,638
1400000US12009064201,Census Tract 642.01; Brevard County; Florida,160,6,65,301
1400000US12009064202,Census Tract 642.02; Brevard County; Florida,404,0,92,271
1400000US12009064301,Census Tract 643.01; Brevard County; Florida,203,0,380,371
1400000US12009064302,Census Tract 643.02; Brevard County; Florida,424,0,0,735
1400000US12009064400,Census Tract 644; Brevard County; Florida,350,15,17,1089
1400000US12009064500,Census Tract 645; Brevard County; Florida,106,0,164,287
1400000US12009064601,Census Tract 646.01; Brevard County; Florida,477,7,90,916
1400000US12009064602,Census Tract 646.02; Brevard County; Florida,67,0,54,161
1400000US12009064701,Census Tract 647.01; Brevard County; Florida,86,0,95,576
1400000US12009064702,Census Tract 647.02; Brevard County; Florida,123,0,90,185
1400000US12009064800,Census Tract 648; Brevard County; Florida,785,0,0,493
1400000US12009064901,Census Tract 649.01; Brevard County; Florida,394,0,139,926
1400000US12009064902,Census Tract 649.02; Brevard County; Florida,1154,11,140,593
1400000US12009065001,Census Tract 650.01; Brevard County; Florida,74,25,123,673
1400000US12009065022,Census Tract 650.22; Brevard County; Florida,66,0,332,867
1400000US12009065023,Census Tract 650.23; Brevard County; Florida,145,0,282,1109
1400000US12009065024,Census Tract 650.24; Brevard County; Florida,0,65,844,262
1400000US12009065025,Census Tract 650.25; Brevard County; Florida,344,0,40,146
1400000US12009065123,Census Tract 651.23; Brevard County; Florida,560,0,77,421
1400000US12009065124,Census Tract 651.24; Brevard County; Florida,1871,0,6,49
1400000US12009065126,Census Tract 651.26; Brevard County; Florida,393,0,249,626
1400000US12009065127,Census Tract 651.27; Brevard County; Florida,714,0,579,243
1400000US12009065128,Census Tract 651.28; Brevard County; Florida,1267,0,106,596
1400000US12009065129,Census Tract 651.29; Brevard County; Florida,643,0,55,942
1400000US12009065130,Census Tract 651.30; Brevard County; Florida,779,27,0,427
1400000US12009065131,Census Tract 651.31; Brevard County; Florida,182,0,9,599
1400000US12009065201,Census Tract 652.01; Brevard County; Florida,170,0,52,638
1400000US12009065202,Census Tract 652.02; Brevard County; Florida,923,0,69,1342
1400000US12009065231,Census Tract 652.31; Brevard County; Florida,510,0,7,672
1400000US12009065236,Census Tract 652.36; Brevard County; Florida,138,0,17,129
1400000US12009065237,Census Tract 652.37; Brevard County; Florida,38,0,16,32
1400000US12009065238,Census Tract 652.38; Brevard County; Florida,0,0,4,0
1400000US12009065239,Census Tract 652.39; Brevard County; Florida,0,0,30,132
1400000US12009065240,Census Tract 652.40; Brevard County; Florida,0,7,46,190
1400000US12009066101,Census Tract 661.01; Brevard County; Florida,8,4,165,212
1400000US12009066103,Census Tract 661.03; Brevard County; Florida,27,0,0,170
1400000US12009066104,Census Tract 661.04; Brevard County; Florida,0,0,0,158
1400000US12009066200,Census Tract 662; Brevard County; Florida,0,0,35,231
1400000US12009066301,Census Tract 663.01; Brevard County; Florida,114,0,170,622
1400000US12009066302,Census Tract 663.02; Brevard County; Florida,221,0,0,274
1400000US12009066400,Census Tract 664; Brevard County; Florida,1,0,30,778
1400000US12009066500,Census Tract 665; Brevard County; Florida,0,10,121,270
1400000US12009066600,Census Tract 666; Brevard County; Florida,76,4,40,451
1400000US12009066700,Census Tract 667; Brevard County; Florida,87,0,23,415
1400000US12009066800,Census Tract 668; Brevard County; Florida,18,0,38,211
1400000US12009066900,Census Tract 669; Brevard County; Florida,190,0,219,445
1400000US12009067100,Census Tract 671; Brevard County; Florida,155,0,22,375
1400000US12009068101,Census Tract 681.01; Brevard County; Florida,177,5,64,450
1400000US12009068102,Census Tract 681.02; Brevard County; Florida,0,0,11,178
1400000US12009068400,Census Tract 684; Brevard County; Florida,7,0,18,37
1400000US12009068501,Census Tract 685.01; Brevard County; Florida,51,0,19,100
1400000US12009068502,Census Tract 685.02; Brevard County; Florida,8,7,15,349
1400000US12009068601,Census Tract 686.01; Brevard County; Florida,11,0,13,94
1400000US12009068603,Census Tract 686.03; Brevard County; Florida,9,0,7,323
1400000US12009068604,Census Tract 686.04; Brevard County; Florida,41,0,21,68
1400000US12009069100,Census Tract 691; Brevard County; Florida,23,0,201,157
1400000US12009069200,Census Tract 692; Brevard County; Florida,16,0,76,143
1400000US12009069300,Census Tract 693; Brevard County; Florida,139,0,41,294
1400000US12009069400,Census Tract 694; Brevard County; Florida,90,0,112,410
1400000US12009069700,Census Tract 697; Brevard County; Florida,211,0,50,449
1400000US12009069801,Census Tract 698.01; Brevard County; Florida,0,0,255,413
1400000US12009069802,Census Tract 698.02; Brevard County; Florida,86,0,76,329
1400000US12009069903,Census Tract 699.03; Brevard County; Florida,62,0,48,444
1400000US12009069904,Census Tract 699.04; Brevard County; Florida,0,1,165,573
1400000US12009069905,Census Tract 699.05; Brevard County; Florida,0,0,0,0
1400000US12009069906,Census Tract 699.06; Brevard County; Florida,427,0,33,750
1400000US12009069907,Census Tract 699.07; Brevard County; Florida,180,0,195,100
1400000US12009071100,Census Tract 711; Brevard County; Florida,57,0,0,18
1400000US12009071201,Census Tract 712.01; Brevard County; Florida,242,0,365,701
1400000US12009071202,Census Tract 712.02; Brevard County; Florida,0,0,30,219
1400000US12009071203,Census Tract 712.03; Brevard County; Florida,0,19,0,87
1400000US12009071204,Census Tract 712.04; Brevard County; Florida,0,0,0,4
1400000US12009071205,Census Tract 712.05; Brevard County; Florida,341,21,237,773
1400000US12009071335,Census Tract 713.35; Brevard County; Florida,571,0,169,992
1400000US12009071337,Census Tract 713.37; Brevard County; Florida,889,23,179,1630
1400000US12009071339,Census Tract 713.39; Brevard County; Florida,1776,0,700,1563
1400000US12009071341,Census Tract 713.41; Brevard County; Florida,905,0,73,2659
1400000US12009071342,Census Tract 713.42; Brevard County; Florida,429,0,169,1423
1400000US12009071343,Census Tract 713.43; Brevard County; Florida,1032,0,57,865
1400000US12009071344,Census Tract 713.44; Brevard County; Florida,1091,0,26,877
1400000US12009071345,Census Tract 713.45; Brevard County; Florida,1534,0,132,506
1400000US12009071346,Census Tract 713.46; Brevard County; Florida,3234,0,185,1454
1400000US12009071347,Census Tract 713.47; Brevard County; Florida,1407,0,0,2034
1400000US12009071348,Census Tract 713.48; Brevard County; Florida,1583,0,125,1580
1400000US12009071349,Census Tract 713.49; Brevard County; Florida,500,7,112,1699
1400000US12009071350,Census Tract 713.50; Brevard County; Florida,784,0,209,1093
1400000US12009071351,Census Tract 713.51; Brevard County; Florida,832,0,16,352
1400000US12009071352,Census Tract 713.52; Brevard County; Florida,413,0,37,1004
1400000US12009071353,Census Tract 713.53; Brevard County; Florida,134,7,598,1085
1400000US12009071354,Census Tract 713.54; Brevard County; Florida,423,15,306,956
1400000US12009071401,Census Tract 714.01; Brevard County; Florida,113,0,4,43
1400000US12009071402,Census Tract 714.02; Brevard County; Florida,179,0,10,254
1400000US12009071500,Census Tract 715; Brevard County; Florida,276,5,8,63
1400000US12009071601,Census Tract 716.01; Brevard County; Florida,74,0,70,170
1400000US12009071602,Census Tract 716.02; Brevard County; Florida,0,0,23,252
1400000US12009071700,Census Tract 717; Brevard County; Florida,30,0,102,272
1400000US12009980000,Census Tract 9800; Brevard County; Florida,0,0,6,7
1400000US12009980100,Census Tract 9801; Brevard County; Florida,0,0,0,0
1400000US12009990000,Census Tract 9900; Brevard County; Florida,0,0,0,0
1400000US12011010102,Census Tract 101.02; Broward County; Florida,171,0,0,146
1400000US12011010103,Census Tract 101.03; Broward County; Florida,2,0,201,611
1400000US12011010104,Census Tract 101.04; Broward County; Florida,0,0,32,158
1400000US12011010201,Census Tract 102.01; Broward County; Florida,121,0,0,1150
1400000US12011010202,Census Tract 102.02; Broward County; Florida,255,17,84,686
1400000US12011010304,Census Tract 103.04; Broward County; Florida,2932,0,10,595
1400000US12011010305,Census Tract 103.05; Broward County; Florida,2381,0,396,1245
1400000US12011010306,Census Tract 103.06; Broward County; Florida,1474,0,0,420
1400000US12011010307,Census Tract 103.07; Broward County; Florida,3072,0,121,1087
1400000US12011010308,Census Tract 103.08; Broward County; Florida,615,0,59,812
1400000US12011010401,Census Tract 104.01; Broward County; Florida,753,0,78,1420
1400000US12011010402,Census Tract 104.02; Broward County; Florida,537,0,0,725
1400000US12011010403,Census Tract 104.03; Broward County; Florida,32,0,15,477
1400000US12011010405,Census Tract 104.05; Broward County; Florida,1094,22,198,3271
1400000US12011010406,Census Tract 104.06; Broward County; Florida,578,0,110,1272
1400000US12011010407,Census Tract 104.07; Broward County; Florida,126,18,122,1653
1400000US12011010502,Census Tract 105.02; Broward County; Florida,410,0,109,575
1400000US12011010503,Census Tract 105.03; Broward County; Florida,4045,0,1866,3804
1400000US12011010504,Census Tract 105.04; Broward County; Florida,619,0,647,689
1400000US12011010601,Census Tract 106.01; Broward County; Florida,486,19,541,1425
1400000US12011010603,Census Tract 106.03; Broward County; Florida,586,0,930,1161
1400000US12011010604,Census Tract 106.04; Broward County; Florida,881,0,48,1126
1400000US12011010605,Census Tract 106.05; Broward County; Florida,1675,0,384,1331
1400000US12011010606,Census Tract 106.06; Broward County; Florida,1557,0,102,2943
1400000US12011010609,Census Tract 106.09; Broward County; Florida,1108,17,377,1266
1400000US12011010610,Census Tract 106.10; Broward County; Florida,538,132,86,1211
1400000US12011010611,Census Tract 106.11; Broward County; Florida,879,0,273,720
1400000US12011010612,Census Tract 106.12; Broward County; Florida,911,0,683,1447
1400000US12011010613,Census Tract 106.13; Broward County; Florida,526,0,20,564
1400000US12011010614,Census Tract 106.14; Broward County; Florida,784,0,124,757
1400000US12011010615,Census Tract 106.15; Broward County; Florida,616,0,7,1736
1400000US12011010701,Census Tract 107.01; Broward County; Florida,1917,0,15,1590
1400000US12011010702,Census Tract 107.02; Broward County; Florida,5012,0,280,2671
1400000US12011010800,Census Tract 108; Broward County; Florida,2522,0,14,1871
1400000US12011010901,Census Tract 109.01; Broward County; Florida,63,0,71,256
1400000US12011010902,Census Tract 109.02; Broward County; Florida,62,0,38,545
1400000US12011011000,Census Tract 110; Broward County; Florida,61,0,0,221
1400000US12011020101,Census Tract 201.01; Broward County; Florida,2363,0,36,2171
1400000US12011020103,Census Tract 201.03; Broward County; Florida,763,0,121,1910
1400000US12011020104,Census Tract 201.04; Broward County; Florida,458,0,73,1073
1400000US12011020204,Census Tract 202.04; Broward County; Florida,2336,0,284,1803
1400000US12011020205,Census Tract 202.05; Broward County; Florida,2020,21,323,1253
1400000US12011020206,Census Tract 202.06; Broward County; Florida,1199,0,246,1901
1400000US12011020209,Census Tract 202.09; Broward County; Florida,870,0,154,854
1400000US12011020210,Census Tract 202.10; Broward County; Florida,1999,0,501,1388
1400000US12011020211,Census Tract 202.11; Broward County; Florida,619,17,50,582
1400000US12011020212,Census Tract 202.12; Broward County; Florida,634,0,128,1523
1400000US12011020213,Census Tract 202.13; Broward County; Florida,1069,0,106,1399
1400000US12011020214,Census Tract 202.14; Broward County; Florida,1045,0,171,300
1400000US12011020302,Census Tract 203.02; Broward County; Florida,2593,7,84,3166
1400000US12011020308,Census Tract 203.08; Broward County; Florida,2973,0,102,1830
1400000US12011020309,Census Tract 203.09; Broward County; Florida,1001,0,246,1377
1400000US12011020311,Census Tract 203.11; Broward County; Florida,908,0,134,809
1400000US12011020312,Census Tract 203.12; Broward County; Florida,1114,0,187,1672
1400000US12011020313,Census Tract 203.13; Broward County; Florida,1432,0,128,2424
1400000US12011020314,Census Tract 203.14; Broward County; Florida,1150,0,372,2015
1400000US12011020315,Census Tract 203.15; Broward County; Florida,417,0,158,2455
1400000US12011020316,Census Tract 203.16; Broward County; Florida,1362,43,89,1235
1400000US12011020317,Census Tract 203.17; Broward County; Florida,454,15,169,1319
1400000US12011020318,Census Tract 203.18; Broward County; Florida,3274,0,1282,2152
1400000US12011020319,Census Tract 203.19; Broward County; Florida,963,47,220,2482
1400000US12011020320,Census Tract 203.20; Broward County; Florida,1032,17,151,1861
1400000US12011020321,Census Tract 203.21; Broward County; Florida,122,0,20,954
1400000US12011020322,Census Tract 203.22; Broward County; Florida,1097,0,95,1233
1400000US12011020323,Census Tract 203.23; Broward County; Florida,1342,0,412,1222
1400000US12011020324,Census Tract 203.24; Broward County; Florida,922,5,259,3367
1400000US12011020325,Census Tract 203.25; Broward County; Florida,1884,0,0,845
1400000US12011020326,Census Tract 203.26; Broward County; Florida,2133,0,61,1605
