CountyName,CountyFIPS,TractFIPS,smoking_crude_prevalence
Alachua,12001,12001000201,18.0
Alachua,12001,12001000202,12.6
Alachua,12001,12001000301,11.5
Alachua,12001,12001000302,14.4
Alachua,12001,12001000400,15.0
Alachua,12001,12001000500,11.0
Alachua,12001,12001000600,23.9
Alachua,12001,12001000700,20.6
Alachua,12001,12001000806,14.7
Alachua,12001,12001000808,12.9
Alachua,12001,12001000809,12.2
Alachua,12001,12001000901,9.8
Alachua,12001,12001000902,13.6
Alachua,12001,12001001000,11.0
Alachua,12001,12001001100,8.2
Alachua,12001,12001001201,10.6
Alachua,12001,12001001202,11.8
Alachua,12001,12001001203,14.2
Alachua,12001,12001001400,26.6
Alachua,12001,12001001514,9.3
Alachua,12001,12001001515,14.5
Alachua,12001,12001001516,18.0
Alachua,12001,12001001517,11.6
Alachua,12001,12001001519,11.8
Alachua,12001,12001001522,12.4
Alachua,12001,12001001605,11.9
Alachua,12001,12001001701,10.6
Alachua,12001,12001001702,11.3
Alachua,12001,12001001802,18.4
Alachua,12001,12001001803,13.2
Alachua,12001,12001001811,8.5
Alachua,12001,12001001813,9.2
Alachua,12001,12001001815,14.3
Alachua,12001,12001001816,14.7
Alachua,12001,12001001817,10.5
Alachua,12001,12001001818,16.2
Alachua,12001,12001001819,14.1
Alachua,12001,12001001902,29.6
Alachua,12001,12001001907,15.8
Alachua,12001,12001001908,17.4
Alachua,12001,12001002001,20.5
Alachua,12001,12001002002,21.9
Alachua,12001,12001002101,12.7
Alachua,12001,12001002102,17.8
Alachua,12001,12001002201,13.8
Alachua,12001,12001002202,11.6
Alachua,12001,12001002204,10.3
Alachua,12001,12001002207,7.3
Alachua,12001,12001002208,7.3
Alachua,12001,12001002209,11.7
Alachua,12001,12001002210,16.9
Alachua,12001,12001002217,18.8
Alachua,12001,12001002218,15.6
Alachua,12001,12001002219,15.1
Alachua,12001,12001002220,12.2
Alachua,12001,12001002221,10.6
Alachua,12001,12001002222,6.3
Alachua,12001,12001110800,9.9
Baker,12003,12003040101,17.7
