CountyCode,CountyName,ElectionName,PrecinctID,RegisteredTotal,RegisteredRepublican,RegisteredDemocrat,ContestName,District,YesVotes,NoVotes,key
ALA,Alachua,2024 General Election,1,1324,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,607,484,ALA1
ALA,Alachua,2024 General Election,2,2276,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1024,870,ALA2
ALA,Alachua,2024 General Election,3,4031,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1889,1452,ALA3
ALA,Alachua,2024 General Election,4,3473,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1552,1429,ALA4
ALA,Alachua,2024 General Election,5,3221,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2656,772,ALA5
ALA,Alachua,2024 General Election,6,3418,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1578,1344,ALA6
ALA,Alachua,2024 General Election,7,1953,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1334,244,ALA7
ALA,Alachua,2024 General Election,8,1905,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,970,577,ALA8
ALA,Alachua,2024 General Election,9,526,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,239,206,ALA9
ALA,Alachua,2024 General Election,10,1530,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,822,512,ALA10
ALA,Alachua,2024 General Election,11,3054,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1552,1012,ALA11
ALA,Alachua,2024 General Election,12,1126,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,740,186,ALA12
ALA,Alachua,2024 General Election,13,2113,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1083,307,ALA13
ALA,Alachua,2024 General Election,14,1243,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,581,478,ALA14
ALA,Alachua,2024 General Election,15,829,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,377,324,ALA15
ALA,Alachua,2024 General Election,16,3763,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1824,1242,ALA16
ALA,Alachua,2024 General Election,17,2112,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1212,538,ALA17
ALA,Alachua,2024 General Election,18,2899,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1504,797,ALA18
ALA,Alachua,2024 General Election,19,1482,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,875,162,ALA19
ALA,Alachua,2024 General Election,20,3115,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1369,1276,ALA20
ALA,Alachua,2024 General Election,21,3560,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2117,852,ALA21
ALA,Alachua,2024 General Election,22,2749,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1596,771,ALA22
ALA,Alachua,2024 General Election,23,2243,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1440,397,ALA23
ALA,Alachua,2024 General Election,24,2890,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1818,731,ALA24
ALA,Alachua,2024 General Election,25,1679,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1095,169,ALA25
ALA,Alachua,2024 General Election,26,1375,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,887,296,ALA26
ALA,Alachua,2024 General Election,27,3143,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2116,379,ALA27
